Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received
51041,445,0,0,drop,70,70,0,1,0,1,0
46448,30170,0,0,deny,159,159,0,1,0,1,0
10688,25174,0,0,deny,146,146,0,1,0,1,0
34086,25174,0,0,deny,62,62,0,1,0,1,0
64605,25174,0,0,deny,62,62,0,1,0,1,0
51039,445,0,0,drop,70,70,0,1,0,1,0
56688,25174,0,0,deny,62,62,0,1,0,1,0
57015,42707,0,0,deny,62,62,0,1,0,1,0
41213,25174,0,0,deny,62,62,0,1,0,1,0
57131,8055,0,0,deny,145,145,0,1,0,1,0
45855,25174,0,0,deny,62,62,0,1,0,1,0
54483,25174,0,0,deny,66,66,0,1,0,1,0
45855,25174,0,0,deny,146,146,0,1,0,1,0
49990,62413,0,0,deny,66,66,0,1,0,1,0
1582,56205,0,0,deny,62,62,0,1,0,1,0
65003,57470,0,0,deny,78,78,0,1,0,1,0
55718,445,0,0,drop,70,70,0,1,0,1,0
55717,445,0,0,drop,70,70,0,1,0,1,0
55713,445,0,0,drop,70,70,0,1,0,1,0
55708,445,0,0,drop,70,70,0,1,0,1,0
63486,51505,0,0,deny,66,66,0,1,0,1,0
54100,37965,0,0,deny,62,62,0,1,0,1,0
51034,445,0,0,drop,70,70,0,1,0,1,0
51107,445,0,0,drop,66,66,0,1,0,1,0
51105,445,0,0,drop,66,66,0,1,0,1,0
51104,445,0,0,drop,66,66,0,1,0,1,0
1815,22114,0,0,deny,66,66,0,1,0,1,0
443,47582,0,0,deny,60,60,0,1,0,1,0
443,47582,0,0,deny,85,85,0,1,0,1,0
443,47582,0,0,deny,100,100,0,1,0,1,0
59126,57470,0,0,deny,66,66,0,1,0,1,0
27621,50584,0,0,deny,62,62,0,1,0,1,0
52266,50038,0,0,deny,66,66,0,1,0,1,0
56456,1433,0,0,deny,60,60,0,1,0,1,0
43537,2323,0,0,deny,60,60,0,1,0,1,0
40772,15503,0,0,deny,74,74,0,1,0,1,0
50594,25174,0,0,deny,66,66,0,1,0,1,0
4323,64147,0,0,deny,62,62,0,1,0,1,0
55703,445,0,0,drop,70,70,0,1,0,1,0
55701,445,0,0,drop,70,70,0,1,0,1,0
55696,445,0,0,drop,70,70,0,1,0,1,0
55698,445,0,0,drop,70,70,0,1,0,1,0
34349,25174,0,0,deny,146,146,0,1,0,1,0
39587,22114,0,0,deny,62,62,0,1,0,1,0
42542,25174,0,0,deny,62,62,0,1,0,1,0
49529,21247,0,0,deny,62,62,0,1,0,1,0
64579,37965,0,0,deny,66,66,0,1,0,1,0
51021,445,0,0,drop,70,70,0,1,0,1,0
53771,57470,0,0,deny,66,66,0,1,0,1,0
15701,37965,0,0,deny,146,146,0,1,0,1,0
4529,56205,0,0,deny,62,62,0,1,0,1,0
45060,37965,0,0,deny,62,62,0,1,0,1,0
32554,34729,0,0,deny,62,62,0,1,0,1,0
51018,445,0,0,drop,70,70,0,1,0,1,0
47913,25174,0,0,deny,146,146,0,1,0,1,0
55686,445,0,0,drop,70,70,0,1,0,1,0
55683,445,0,0,drop,70,70,0,1,0,1,0
55679,445,0,0,drop,70,70,0,1,0,1,0
2206,25174,0,0,deny,62,62,0,1,0,1,0
64808,62413,0,0,deny,62,62,0,1,0,1,0
17244,22114,0,0,deny,62,62,0,1,0,1,0
51095,445,0,0,drop,66,66,0,1,0,1,0
51014,445,0,0,drop,70,70,0,1,0,1,0
58925,25174,0,0,deny,66,66,0,1,0,1,0
32549,37807,0,0,deny,146,146,0,1,0,1,0
51012,445,0,0,drop,70,70,0,1,0,1,0
52838,37965,0,0,deny,66,66,0,1,0,1,0
34217,23,0,0,deny,60,60,0,1,0,1,0
52459,33890,0,0,deny,60,60,0,1,0,1,0
51010,445,0,0,drop,70,70,0,1,0,1,0
55678,445,0,0,drop,70,70,0,1,0,1,0
6666,3389,0,0,deny,60,60,0,1,0,1,0
1024,21854,0,0,reset-both,157,157,0,1,0,1,0
55677,445,0,0,drop,70,70,0,1,0,1,0
25533,22114,0,0,deny,62,62,0,1,0,1,0
47132,1433,0,0,deny,60,60,0,1,0,1,0
56119,37965,0,0,deny,62,62,0,1,0,1,0
51080,445,0,0,drop,66,66,0,1,0,1,0
51076,445,0,0,drop,66,66,0,1,0,1,0
51003,445,0,0,drop,70,70,0,1,0,1,0
54502,34729,0,0,deny,66,66,0,1,0,1,0
53626,30317,0,0,deny,66,66,0,1,0,1,0
53712,25174,0,0,deny,66,66,0,1,0,1,0
51001,445,0,0,drop,70,70,0,1,0,1,0
33726,44847,0,0,deny,62,62,0,1,0,1,0
22568,37965,0,0,deny,66,66,0,1,0,1,0
443,49988,0,0,deny,82,82,0,1,0,1,0
55667,445,0,0,drop,70,70,0,1,0,1,0
55665,445,0,0,drop,70,70,0,1,0,1,0
55660,445,0,0,drop,70,70,0,1,0,1,0
55658,445,0,0,drop,70,70,0,1,0,1,0
53985,30188,0,0,deny,62,62,0,1,0,1,0
57613,42707,0,0,deny,62,62,0,1,0,1,0
6666,6001,0,0,deny,60,60,0,1,0,1,0
45941,23386,0,0,deny,60,60,0,1,0,1,0
51000,445,0,0,drop,70,70,0,1,0,1,0
51071,445,0,0,drop,66,66,0,1,0,1,0
50999,445,0,0,drop,70,70,0,1,0,1,0
50998,445,0,0,drop,70,70,0,1,0,1,0
55759,5900,0,0,deny,60,60,0,1,0,1,0
50995,445,0,0,drop,70,70,0,1,0,1,0
50992,445,0,0,drop,70,70,0,1,0,1,0
51067,445,0,0,drop,66,66,0,1,0,1,0
51066,445,0,0,drop,66,66,0,1,0,1,0
51065,445,0,0,drop,66,66,0,1,0,1,0
51062,445,0,0,drop,66,66,0,1,0,1,0
51057,445,0,0,drop,66,66,0,1,0,1,0
51063,445,0,0,drop,66,66,0,1,0,1,0
51059,445,0,0,drop,66,66,0,1,0,1,0
55651,445,0,0,drop,70,70,0,1,0,1,0
21268,62609,0,0,deny,146,146,0,1,0,1,0
21268,62609,0,0,deny,146,146,0,1,0,1,0
55648,445,0,0,drop,70,70,0,1,0,1,0
55646,445,0,0,drop,70,70,0,1,0,1,0
55644,445,0,0,drop,70,70,0,1,0,1,0
50980,445,0,0,drop,70,70,0,1,0,1,0
50979,445,0,0,drop,70,70,0,1,0,1,0
23758,44847,0,0,deny,62,62,0,1,0,1,0
50975,445,0,0,drop,70,70,0,1,0,1,0
53324,44847,0,0,deny,66,66,0,1,0,1,0
50970,445,0,0,drop,70,70,0,1,0,1,0
50969,445,0,0,drop,70,70,0,1,0,1,0
53243,57470,0,0,deny,74,74,0,1,0,1,0
64776,25174,0,0,deny,66,66,0,1,0,1,0
50547,22197,0,0,deny,66,66,0,1,0,1,0
64298,50584,0,0,deny,66,66,0,1,0,1,0
30456,36237,0,0,deny,62,62,0,1,0,1,0
56816,443,16188,443,allow,7956,1967,5989,20,15,11,9
52011,80,26180,80,allow,23580,10536,13044,36,39,18,18
50198,3389,50198,3389,allow,3343,1454,1889,15,16,8,7
56624,53,45708,53,allow,170,87,83,2,30,1,1
56813,443,32005,443,allow,8021,2001,6020,20,16,11,9
52007,443,2667,443,allow,10217,8266,1951,33,39,20,13
64092,14447,29856,14447,allow,66,66,0,1,5,1,0
64270,443,64270,443,allow,4747,1840,2907,19,27,11,8
51163,443,48007,443,allow,9466,2602,6864,41,185,20,21
52469,443,22069,443,allow,29896,14149,15747,61,209,35,26
46898,53,46898,53,allow,194,87,107,2,30,1,1
53198,443,53198,443,allow,4591,1684,2907,19,28,11,8
5886,80,5886,80,allow,138678,5557,133121,152,16,58,94
56815,443,53722,443,allow,7903,1914,5989,20,15,11,9
52270,3708,62556,3708,allow,316,136,180,6,6,3,3
52264,43015,38341,43015,allow,70,70,0,2,7,2,0
62685,443,28394,443,allow,7023,2352,4671,18,75,10,8
49333,443,8337,443,allow,50226,4284,45942,76,75,31,45
62892,443,62892,443,allow,4377,1470,2907,19,30,11,8
50487,3389,50487,3389,allow,6312,2620,3692,25,24,12,13
39430,443,21846,443,allow,506,292,214,8,50,5,3
45232,80,45232,80,allow,2895,1484,1411,10,15,6,4
51164,443,28609,443,allow,5040,2743,2297,34,185,18,16
64099,55470,50878,55470,allow,66,66,0,1,5,1,0
52240,52893,2825,52893,allow,66,66,0,1,5,1,0
48550,443,45303,443,allow,778,358,420,12,43,6,6
47845,53,47845,53,allow,243,94,149,2,32,1,1
52263,16350,50284,16350,allow,70,70,0,2,8,2,0
53177,8595,28264,8595,allow,70,70,0,2,9,2,0
53984,57077,2292,57077,allow,70,70,0,1,5,1,0
56674,443,44964,443,allow,237,177,60,3,5,2,1
34440,53,34440,53,allow,235,90,145,2,32,1,1
44389,443,27883,443,allow,3067,1817,1250,18,16,8,10
52265,32078,35097,32078,allow,70,70,0,2,7,2,0
54996,53,39612,53,allow,168,86,82,2,35,1,1
35609,443,35165,443,allow,237,177,60,3,5,2,1
55727,43736,19578,43736,allow,70,70,0,1,5,1,0
56911,53,21649,53,allow,170,87,83,2,30,1,1
50193,3389,50193,3389,allow,3409,1454,1955,16,16,8,8
49935,53,10954,53,allow,75,75,0,1,30,1,0
52852,53,0,0,allow,82,82,0,1,30,1,0
59226,53,59226,53,allow,194,87,107,2,30,1,1
60286,443,29238,443,allow,7576,1897,5679,23,136,13,10
27313,53,27313,53,allow,194,87,107,2,31,1,1
55674,53,14625,53,allow,744,89,655,2,31,1,1
40814,53,40814,53,allow,213,87,126,2,31,1,1
53067,4040,59736,4040,allow,115,115,0,1,31,1,0
56730,53,30044,53,allow,170,87,83,2,31,1,1
46713,53,46713,53,allow,217,87,130,2,31,1,1
32806,53,32806,53,allow,194,87,107,2,31,1,1
56434,53,6758,53,allow,701,88,613,2,31,1,1
51221,64767,41578,64767,allow,330,330,0,6,1200,6,0
19502,53,19502,53,allow,198,89,109,2,31,1,1
53151,53,29237,53,allow,168,78,90,2,31,1,1
56086,443,31892,443,allow,6817,3598,3219,32,143,15,17
27839,53,27839,53,allow,213,87,126,2,31,1,1
22835,51221,0,0,deny,62,62,0,1,0,1,0
65305,51221,0,0,deny,66,66,0,1,0,1,0
23001,64147,0,0,deny,62,62,0,1,0,1,0
52128,37807,0,0,deny,62,62,0,1,0,1,0
23632,64147,0,0,deny,66,66,0,1,0,1,0
48706,23393,0,0,deny,60,60,0,1,0,1,0
64288,53,54415,53,allow,398,103,295,4,41,2,2
52041,80,18599,80,allow,2901,1407,1494,15,38,9,6
64087,80,46757,80,allow,314,192,122,6,15,4,2
56052,53,22562,53,allow,177,94,83,2,30,1,1
52150,80,40663,80,allow,546,300,246,10,32,6,4
48706,23393,0,0,deny,60,60,0,1,0,1,0
55641,445,0,0,drop,70,70,0,1,0,1,0
55642,445,0,0,drop,70,70,0,1,0,1,0
55640,445,0,0,drop,70,70,0,1,0,1,0
51050,445,0,0,drop,66,66,0,1,0,1,0
35207,22114,0,0,deny,62,62,0,1,0,1,0
55635,445,0,0,drop,70,70,0,1,0,1,0
50957,445,0,0,drop,70,70,0,1,0,1,0
51432,25174,0,0,deny,146,146,0,1,0,1,0
51047,445,0,0,drop,66,66,0,1,0,1,0
51046,445,0,0,drop,66,66,0,1,0,1,0
51045,445,0,0,drop,66,66,0,1,0,1,0
17925,26467,0,0,deny,66,66,0,1,0,1,0
34993,15503,0,0,deny,62,62,0,1,0,1,0
8040,44847,0,0,deny,66,66,0,1,0,1,0
39588,25174,0,0,deny,66,66,0,1,0,1,0
51042,445,0,0,drop,66,66,0,1,0,1,0
2978,48817,0,0,deny,66,66,0,1,0,1,0
1536,48817,0,0,deny,62,62,0,1,0,1,0
43269,50584,0,0,deny,66,66,0,1,0,1,0
33453,64147,0,0,deny,62,62,0,1,0,1,0
51414,22,0,0,deny,60,60,0,1,0,1,0
34810,25174,0,0,deny,62,62,0,1,0,1,0
50951,445,0,0,drop,70,70,0,1,0,1,0
5685,35440,0,0,deny,62,62,0,1,0,1,0
55633,445,0,0,drop,70,70,0,1,0,1,0
51598,56079,0,0,deny,66,66,0,1,0,1,0
40239,22114,0,0,deny,146,146,0,1,0,1,0
443,18368,0,0,deny,60,60,0,1,0,1,0
55622,445,0,0,drop,70,70,0,1,0,1,0
52145,80,50375,80,allow,366,240,126,7,32,5,2
50039,7000,50039,7000,allow,3050,1659,1391,16,15,9,7
56717,80,40230,80,allow,3894448,104279,3790169,4041,97,1411,2630
52162,443,20113,443,allow,1461,924,537,13,31,7,6
52272,37105,49502,37105,allow,316,136,180,6,6,3,3
56504,53,24881,53,allow,198,102,96,2,32,1,1
64098,10096,50669,10096,allow,70,70,0,1,4,1,0
52241,51717,19106,51717,allow,70,70,0,1,4,1,0
52143,80,6472,80,allow,366,240,126,7,32,5,2
50050,443,8381,443,allow,7912,3269,4643,23,95,12,11
52164,443,54936,443,allow,4187,773,3414,16,30,9,7
52115,443,22081,443,allow,11551,3870,7681,29,37,16,13
52147,80,1117,80,allow,366,240,126,7,32,5,2
52157,80,19874,80,allow,366,240,126,7,32,5,2
55526,80,37218,80,allow,78,78,0,2,8,2,0
52151,80,38473,80,allow,546,300,246,10,32,6,4
49359,443,64650,443,allow,63494,7222,56272,107,81,49,58
60512,6881,33887,6881,allow,320,140,180,6,6,3,3
53982,24226,55007,24226,allow,70,70,0,1,4,1,0
53985,26515,42482,26515,allow,70,70,0,1,4,1,0
16965,3389,16965,3389,allow,4085,1916,2169,21,18,12,9
52000,80,35679,80,allow,3604,2064,1540,15,40,10,5
38717,443,31292,443,allow,958865,18695,940170,908,16,266,642
56624,53,34436,53,allow,177,94,83,2,30,1,1
49795,53,44891,53,allow,263,94,169,2,30,1,1
50057,53,37422,53,allow,177,94,83,2,30,1,1
55306,53,39881,53,allow,177,94,83,2,30,1,1
52159,80,23650,80,allow,502,310,192,9,31,6,3
52153,80,26645,80,allow,366,240,126,7,32,5,2
55725,14704,64431,14704,allow,70,70,0,1,5,1,0
50711,80,19117,80,allow,1658,1247,411,8,15,5,3
58304,443,13109,443,allow,13442,1200,12242,26,29,11,15
58305,443,38970,443,allow,11659,1027,10632,25,29,11,14
60291,53,5136,53,allow,78,78,0,1,30,1,0
56555,53,42493,53,allow,348,94,254,2,30,1,1
49436,53,61599,53,allow,718,94,624,2,30,1,1
64226,53,54672,53,allow,245,94,151,2,30,1,1
55379,443,27244,443,allow,13679,7277,6402,35,262,15,20
33825,443,41237,443,allow,9407,2233,7174,38,96,16,22
19763,53,19763,53,allow,216,82,134,2,32,1,1
56741,53,5499,53,allow,370,94,276,2,30,1,1
51041,80,59300,80,allow,1514,480,1034,11,15,6,5
56663,53,41717,53,allow,181,94,87,2,33,1,1
56440,53,62063,53,allow,212,102,110,2,30,1,1
49961,443,64983,443,allow,16890,7125,9765,33,98,19,14
52236,15313,26526,15313,allow,70,70,0,1,5,1,0
56052,53,19569,53,allow,177,94,83,2,30,1,1
53971,80,16324,80,allow,662,448,214,10,15,7,3
64196,53,65372,53,allow,262,94,168,2,30,1,1
38330,123,58815,123,allow,184,94,90,2,30,1,1
49935,53,45170,53,allow,168,86,82,2,30,1,1
55639,53,27613,53,allow,244,94,150,2,30,1,1
53470,53,29709,53,allow,168,78,90,2,30,1,1
51986,80,28001,80,allow,1420,888,532,11,49,7,4
40831,80,63406,80,allow,1614,1300,314,10,15,5,5
36138,443,58693,443,allow,50384,5218,45166,76,99,26,50
33151,53,41502,53,allow,168,78,90,2,30,1,1
50563,53,11644,53,allow,718,94,624,2,30,1,1
50480,443,25461,443,allow,57535,3735,53800,70,122,26,44
57138,443,59763,443,allow,70379,4205,66174,101,403,51,50
52152,80,10469,80,allow,366,240,126,7,32,5,2
55724,45682,6518,45682,allow,70,70,0,1,5,1,0
51999,80,34655,80,allow,20433,10970,9463,34,42,19,15
51934,443,39970,443,allow,9735,2891,6844,36,82,17,19
56521,53,35277,53,allow,305,86,219,2,30,1,1
50056,27018,7128,27018,allow,468,390,78,5,30,4,1
65078,53,19268,53,allow,177,94,83,2,30,1,1
55999,443,53262,443,allow,45632,2078,43554,58,120,22,36
43088,5228,50878,5228,allow,4708,1753,2955,27,4133,12,15
37647,443,55661,443,allow,697381,19797,677584,725,106,247,478
58424,443,8670,443,allow,81295,4140,77155,114,117,42,72
52142,80,50942,80,allow,246,120,126,5,32,3,2
52155,80,52769,80,allow,366,240,126,7,32,5,2
65524,443,51488,443,allow,282968,9210,273758,296,15,106,190
52163,443,4704,443,allow,4187,773,3414,16,30,9,7
52161,443,17095,443,allow,1461,924,537,13,31,7,6
53995,41985,42236,41985,allow,70,70,0,2,7,2,0
51221,51413,17316,51413,allow,460,150,310,2,1200,1,1
65525,443,9387,443,allow,92247,4799,87448,107,15,43,64
52080,80,40918,80,allow,27100,21684,5416,39,38,25,14
52158,80,31502,80,allow,502,310,192,9,31,6,3
10151,11888,57602,11888,allow,491,150,341,2,1200,1,1
52154,80,54882,80,allow,366,240,126,7,32,5,2
49899,443,6307,443,allow,1820,1101,719,18,72,10,8
53983,40500,9041,40500,allow,70,70,0,1,4,1,0
49668,443,64842,443,allow,1288,754,534,13,50,5,8
64093,64828,53558,64828,allow,70,70,0,1,4,1,0
52237,16801,7817,16801,allow,70,70,0,1,5,1,0
57242,53,53275,53,allow,184,86,98,2,29,1,1
60833,443,43148,443,allow,1157,817,340,10,26,5,5
32971,443,57614,443,allow,300,180,120,4,15,2,2
52027,80,10157,80,allow,9732,8170,1562,18,38,10,8
56172,53,12622,53,allow,253,87,166,4,29,2,2
56663,53,55920,53,allow,181,94,87,2,30,1,1
56773,80,16432,80,allow,1462,703,759,8,16,5,3
44421,443,9990,443,allow,2548,1565,983,20,330,11,9
55806,53,2252,53,allow,200,102,98,2,30,1,1
17129,53,49932,53,allow,225,78,147,2,31,1,1
51404,443,29692,443,allow,9076,2650,6426,35,247,15,20
36503,443,18047,443,allow,3549,899,2650,13,120,6,7
53660,443,62189,443,allow,2955,864,2091,11,119,5,6
54401,443,33851,443,allow,11527127,373718,11153409,12286,144,4090,8196
52018,80,60048,80,allow,4988,2667,2321,15,38,10,5
55726,32463,19971,32463,allow,70,70,0,1,5,1,0
50054,443,33481,443,allow,7630,839,6791,20,79,9,11
56624,53,60055,53,allow,328,87,241,4,52,2,2
56667,53,36173,53,allow,232,94,138,2,30,1,1
56684,53,5087,53,allow,194,94,100,2,30,1,1
65001,53,27011,53,allow,200,78,122,2,30,1,1
56751,53,35800,53,allow,177,94,83,2,30,1,1
52127,80,9783,80,allow,2412,1750,662,13,36,9,4
12939,53,12939,53,allow,216,82,134,2,32,1,1
52486,443,26318,443,allow,57366,41661,15705,111,440,66,45
52238,48996,43886,48996,allow,70,70,0,1,5,1,0
55848,53,3289,53,allow,387,134,253,2,30,1,1
65484,53,10578,53,allow,195,86,109,2,30,1,1
